DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,SEMESTRE,Area Sembrada (ha),Area Cosechada (ha),Produccion (t),Rendimiento (t/ha)
META,SAN JUAN DE ARAMA,PLATANO,2015,A,240,240,4320,18
META,PUERTO LLERAS,ARROZ SECANO MECANIZADO ,2015,A,1400,1400,8120,5.8
META,PUERTO LLERAS,MAIZ TECNIFICADO,2015,A,650,650,3900,6
META,PUERTO LLERAS,MAIZ TRADICIONAL,2015,A,40,40,60,1.5
META,PUERTO LLERAS,PATILLA,2015,A,150,150,5250,35
META,PUERTO LLERAS,AHUYAMA,2015,A,8,8,112,14
META,PUERTO LLERAS,MAIZ TECNIFICADO,2015,B,250,250,1500,6
META,PUERTO LLERAS,MAIZ TRADICIONAL,2015,B,60,60,90,1.5
META,PUERTO LLERAS,PATILLA,2015,B,90,90,3150,35
META,PUERTO LLERAS,SOYA,2015,B,100,100,260,2.6
META,PUERTO LLERAS,YUCA,2015,A,180,180,3240,18
META,PUERTO LLERAS,AGUACATE,2015,A,7,0,0,
META,PUERTO LLERAS,CACAO,2015,A,421,331,297.9,0.9
META,PUERTO LLERAS,CAÑA PANELERA,2015,A,80,80,200,2.5
META,PUERTO LLERAS,CAUCHO,2015,A,14,14,16.8,1.2
META,PUERTO LLERAS,CITRICOS,2015,A,12,10,180,18
META,PUERTO LLERAS,MARACUYA,2015,A,184,174,3480,20
META,PUERTO LLERAS,PALMA DE ACEITE,2015,A,5750,4800,100800,21
META,PUERTO LLERAS,PAPAYA,2015,A,13,13,455,35
META,PUERTO LLERAS,PIÑA,2015,A,16,12,480,40
META,PUERTO LLERAS,PLATANO,2015,A,2500,2350,42300,18
META,GRANADA,ARROZ RIEGO,2015,A,210,210,1323,6.3
META,GRANADA,ARROZ SECANO MECANIZADO ,2015,A,2500,2500,16000,6.4
META,GRANADA,MAIZ FORRAJERO,2015,A,40,40,180,4.5
META,GRANADA,MAIZ TECNIFICADO,2015,A,2500,2500,15000,6
META,GRANADA,MAIZ BLANCO,2015,A,150,150,825,5.5
META,GRANADA,MAIZ TRADICIONAL,2015,A,15,15,27,1.8
META,GRANADA,ARROZ RIEGO,2015,B,150,150,900,6
META,GRANADA,ARROZ SECANO MECANIZADO ,2015,B,350,350,2205,6.3
META,GRANADA,MAIZ FORRAJERO,2015,B,40,40,180,4.5
META,GRANADA,MAIZ TECNIFICADO,2015,B,1700,1700,10200,6
META,GRANADA,MAIZ BLANCO,2015,B,118,118,649,5.5
META,GRANADA,MAIZ TRADICIONAL,2015,B,20,20,36,1.8
META,GRANADA,SOYA,2015,B,260,260,676,2.6
META,GRANADA,YUCA,2015,A,700,700,12600,18
META,GRANADA,AGUACATE,2015,A,42,28,252,9
META,GRANADA,CACAO,2015,A,824,692,622.8,0.9
META,GRANADA,CAÑA PANELERA,2015,A,115,115,287.5,2.5
META,GRANADA,CAUCHO,2015,A,2,2,2.4,1.2
META,GRANADA,CITRICOS,2015,A,230,196,3528,18
META,GRANADA,GUAYABA,2015,A,300,300,1650,5.5
META,GRANADA,MARACUYA,2015,A,315,300,5700,19
META,GRANADA,PALMA DE ACEITE,2015,A,950,576,9216,16
META,GRANADA,PAPAYA,2015,A,37,37,814,22
